State or district,Biden/Harris Democratic,Trump/Pence Republican,"DEATHS, 2020"
Alabama,849624,1441170,6544
Alaska,153778,189951,230
Arizona,1672143,1661686,8447
Arkansas,423932,760647,3523
California,11110639,6006518,31335
Colorado,1804352,1364607,4315
Connecticut,1080831,714717,5782
Delaware,296268,200603,1008
Florida,5297045,5668731,19231
Georgia,2473633,2461854,9453
Hawaii,366130,196864,342
Idaho,287021,554119,1358
Illinois,3471915,2446891,15735
Indiana,1242498,1729857,8527
Iowa,759061,897672,4336
Kansas,570323,771406,3344
Kentucky,772474,1326646,4132
Louisiana,856034,1255776,6533
Maine,435072,360737,420
Maryland,1985023,976414,6000
Massachusetts,2382202,1167202,9319
Michigan,2804040,2649852,11391
Minnesota,1717077,1484065,5215
Mississippi,539398,756764,4466
Missouri,1253014,1718736,7137
Montana,244786,343602,1119
Nebraska,374583,556846,2043
Nevada,703486,669890,3238
New Hampshire,424937,365660,779
New Jersey,2608400,1883313,16497
New Mexico,501614,401894,2841
New York,5244886,3251997,35736
North Carolina,2684292,2758775,7892
North Dakota,115042,235751,1210
Ohio,2679165,3154834,13605
Oklahoma,503890,1020280,4847
Oregon,1340383,958448,1434
Pennsylvania,3458229,3377674,16609
Rhode Island,307486,199922,1585
South Carolina,1091541,1385103,5277
South Dakota,150471,261043,1496
Tennessee,1143711,1852475,6838
Texas,5259126,5890347,30840
Utah,560282,865140,1365
Vermont,242820,112704,144
Virginia,2413568,1962430,5821
Washington,2369612,1584651,3284
West Virginia,235984,545382,1483
Wisconsin,1630866,1610184,5432
Wyoming,73491,193559,462
